hash,score
wGSunin,0.000586274836678
JMy7tm0,0.00509339431301
nJQjoCS,0.0218401886523
SEZwc3C,0.00151227717288
HNqsEDA,0.000966065039393
lQGwW1G,0.000680531957187
VXR5Htr,invalid
Pgu6GwC,0.999735534191
G4pxypM,0.000327831745381
Z5RSzkm,0.0280283875763
Wq5ZP3F,0.0125848725438
MzJBsXC,0.0163720399141
VM5Kh8w,0.977175831795
3kvhtQE,0.0883728042245
EB8J6cV,0.00122973381076
JHj8Mml,0.00612063705921
SZJGifB,0.006235613022
knrCLj6,0.0125182429329
EQh8PQO,0.00256276456639
yqlK3lw,0.001600425574
lgR5RLR,0.0130378678441
WQt4Djf,0.00200815894641
MUYf2tg,0.00411595078185
hqzR0ib,0.00344436848536
4Ci0AZ4,0.579671382904
bg3U7KZ,0.523744523525
Nr8a4ow,0.00293262233026
ulL2NHx,0.00850426405668
Z0Weawd,0.098600640893
8X8AM0s,0.0388774201274
uC1lpcC,0.00216390891001
KLWuEcY,0.0187489837408
lcnEhN6,0.173565551639
scADmfX,0.0220486167818
V4oSxV5,0.004571815487
Rc3dEh1,0.051302652806
c3MQojd,0.998780071735
PG5d7II,0.998911976814
ugEbeEu,0.0199355576187
tVMRhdu,0.0250897184014
DOvoTlq,0.0254429094493
gPTyUI2,0.000709149113391
U0AV8N1,0.00147800485138
VfIegMc,0.00538328289986
XIZBg0o,0.999378800392
M7eUVCR,0.000987632898614
sIz50cY,0.253969103098
EJQcJX5,0.00100025755819
fa88YKg,0.0105623528361
86Yorze,0.0327290147543
plyGEAF,0.0178771298379
rfpEgnN,0.0140530653298
mx3TJ2o,0.0164123438299
agCEH8s,0.00226552016102
QKFjMx3,0.988446235657
M4el3Lw,0.0184156186879
UVtsCBh,0.950327694416
YWyhdK1,0.0130174746737
Ym6qie7,0.00669241370633
wmE6iau,0.310413628817
PWi0xHA,0.999974012375
O3sMwx4,0.143290609121
BLbshE1,8.62941669766e-05
dg8m8v4,0.0049837809056
3gVaUk1,0.0174373369664
2gxbKFv,0.0498696118593
QhpRBbO,0.0519352219999
TH0o90O,0.00774662476033
tVH1XhF,5.78532271902e-05
8cVTgMn,0.0650504529476
5WxyCqS,0.000289552583126
lTgCGlH,0.000474626460345
f1vsLbt,0.00123885448556
Bt6cAvH,0.00386070390232
s9fhrcJ,0.0147569691762
iXUa2ya,0.0175239834934
Pb7sBl5,0.000958564400207
l9If7BG,0.00628594495356
sN9ifuM,0.884553551674
sjwzNxB,0.733975052834
7AtdHiQ,0.840935528278
tce36jM,0.000715376983862
0CkStkb,0.0184217821807
pKHd9v9,0.0584793277085
25lrpfz,0.000727766018827
Zmt2jf7,0.968981087208
VawmJQn,0.000752896652557
4FdTEXI,0.00572639005259
EQn69WZ,0.0295907985419
1PdKOih,0.00888073444366
1OvrS5F,0.341831952333
HKAbkaW,0.00548237515613
b6FJ0yG,0.00507744168863
w10J25G,0.000316983117955
97w5zCz,0.00228319736198
fU5FYnT,0.00361262843944
FkzB4Ag,0.000326599809341
0NjR2Ce,0.00387526373379
82RELpp,0.336527764797
1DF2BP1,0.038092520088
EcbEs2w,0.00851267110556
kK5orrD,0.00100240495522
Z0qb4yj,0.0346892811358
xz3NgTJ,0.000495927233715
N2OFiqz,invalid
UnuheJU,0.00150370819028
qPGxRfF,6.06778412475e-05
6YyW65v,0.0207624938339
DEyVPrF,0.0207146815956
QtlGT29,0.183246865869
ZZ7YCCI,0.0225863009691
3tQurcV,0.00215337704867
VBZ3D3P,0.993513703346
RJOH7Xn,8.02181148174e-06
ss168WR,0.0674246773124
IONv8bd,0.995280265808
tNKwiJS,0.00715257879347
IQaVnKM,0.00827745907009
aSEVbfJ,0.000302954373183
UvKGwxb,0.0300629623234
KmhrXJz,invalid
h2SAYPr,0.0411350950599
ksL2P5i,0.0035842359066
6MoNKiX,0.0016500861384
uE0fnJD,0.00389522989281
zN0YlD1,0.0104630608112
82FRI02,0.00672010425478
JZFsiOl,0.00399745395407
kVNRRWl,0.00704965833575
NjlTx2i,0.000538582331501
As3NjKf,0.163841784
FOhIHeG,0.129138559103
tQNCG28,invalid
0DPLctb,0.00135430553928
3qkUvlp,invalid
z2W6x0Q,0.012167413719
L1PRyRw,0.0270131751895
LpM11WV,0.0298668053001
KkWs8aQ,0.00332160224207
ABZMj9t,0.00310331070796
unQfct3,0.00147319224197
GITg4br,0.00215734611265
FYuMypR,0.0147257084027
NxddUVR,0.000626516819466
HRYGTIO,0.015156628564
xb9c5qQ,0.000143147219205
n8clhsA,0.0660245716572
